iter,loss,loss_f,loss_b
1,21.722700119018555,21.653329849243164,0.06937053054571152
2,21.709360122680664,21.6541748046875,0.055184900760650635
3,21.69778060913086,21.654081344604492,0.04369863495230675
4,21.687631607055664,21.653051376342773,0.034579478204250336
5,21.678531646728516,21.650981903076172,0.027549615129828453
6,21.670120239257812,21.647851943969727,0.022268202155828476
7,21.662099838256836,21.643714904785156,0.01838458888232708
8,21.654247283935547,21.63865852355957,0.015587970614433289
9,21.646419525146484,21.632793426513672,0.0136262197047472
10,21.63852882385254,21.626222610473633,0.01230575144290924
11,21.630523681640625,21.61903953552246,0.01148331817239523
12,21.62238883972168,21.61133575439453,0.011053732596337795
13,21.614133834838867,21.60319709777832,0.010937273502349854
14,21.605758666992188,21.594690322875977,0.011068946681916714
15,21.59727668762207,21.585886001586914,0.011390083469450474
16,21.58867645263672,21.576833724975586,0.01184315700083971
17,21.579940795898438,21.567569732666016,0.012370679527521133
18,21.571022033691406,21.55810546875,0.012917458079755306
19,21.561874389648438,21.548439025878906,0.013434525579214096
20,21.55243682861328,21.53855323791504,0.013883961364626884
21,21.542654037475586,21.528409957885742,0.014243819750845432
22,21.53247833251953,21.517967224121094,0.01451173610985279
23,21.52187728881836,21.507171630859375,0.014706119894981384
24,21.510820388793945,21.495956420898438,0.014864543452858925
25,21.499292373657227,21.4842529296875,0.015039412304759026
26,21.487272262573242,21.471981048583984,0.015291688032448292
27,21.47474479675293,21.459060668945312,0.01568368449807167
28,21.46167755126953,21.445405960083008,0.016272088512778282
29,21.44803810119629,21.430936813354492,0.01710217446088791
30,21.433778762817383,21.41557502746582,0.01820424757897854
31,21.418842315673828,21.399250030517578,0.019593238830566406
32,21.403169631958008,21.381898880004883,0.021271081641316414
33,21.386688232421875,21.36345863342285,0.02323043718934059
34,21.36933708190918,21.3438777923584,0.025458605960011482
35,21.35103988647461,21.32309913635254,0.027940576896071434
36,21.33173370361328,21.30107307434082,0.030660871416330338
37,21.31134796142578,21.27774429321289,0.03360387682914734
38,21.289813995361328,21.253061294555664,0.03675317391753197
39,21.26706886291504,21.226978302001953,0.040090225636959076
40,21.24305534362793,21.199462890625,0.04359271377325058
41,21.21772575378418,21.170494079589844,0.04723227769136429
42,21.191059112548828,21.140087127685547,0.05097202584147453
43,21.163034439086914,21.1082706451416,0.05476364493370056
44,21.133663177490234,21.075117111206055,0.05854526534676552
45,21.10295867919922,21.04071807861328,0.06224138289690018
46,21.070966720581055,21.005199432373047,0.06576726585626602
47,21.03774642944336,20.968708038330078,0.06903830915689468
48,21.00339698791504,20.931415557861328,0.0719812884926796
49,20.968046188354492,20.893503189086914,0.0745425820350647
50,20.931859970092773,20.85516929626465,0.07669005542993546
51,20.895023345947266,20.816614151000977,0.07840835303068161
52,20.857730865478516,20.77804183959961,0.07968957722187042
53,20.8201904296875,20.739665985107422,0.08052396029233932
54,20.782611846923828,20.701717376708984,0.08089541643857956
55,20.745214462280273,20.664432525634766,0.08078254759311676
56,20.708227157592773,20.628061294555664,0.08016504347324371
57,20.671863555908203,20.59282684326172,0.0790366679430008
58,20.63632583618164,20.55890655517578,0.07741962373256683
59,20.60178565979004,20.526412963867188,0.07537318021059036
60,20.568349838256836,20.495357513427734,0.07299315929412842
61,20.536056518554688,20.465656280517578,0.07039933651685715
62,20.504840850830078,20.43712615966797,0.06771449744701385
63,20.474557876586914,20.409509658813477,0.06504763662815094
64,20.444976806640625,20.382490158081055,0.06248662248253822
65,20.41577911376953,20.355684280395508,0.06009405106306076
66,20.386554718017578,20.328655242919922,0.057899314910173416
67,20.35680389404297,20.300918579101562,0.05588505044579506
68,20.325984954833984,20.27200698852539,0.05397866293787956
69,20.293590545654297,20.24152374267578,0.052066653966903687
70,20.259185791015625,20.209150314331055,0.0500345341861248
71,20.222410202026367,20.17459487915039,0.04781553894281387
72,20.18293571472168,20.137508392333984,0.04542745277285576
73,20.140405654907227,20.097423553466797,0.04298229515552521
74,20.094371795654297,20.053709030151367,0.04066302999854088
75,20.044248580932617,20.005571365356445,0.03867628797888756
76,19.9892635345459,19.95206069946289,0.03720277547836304
77,19.92844009399414,19.892074584960938,0.03636578842997551
78,19.86061668395996,19.824390411376953,0.03622664883732796
79,19.784475326538086,19.7476749420166,0.03680122643709183
80,19.6986026763916,19.660520553588867,0.03808235749602318
81,19.60150718688965,19.561452865600586,0.0400540828704834
82,19.49161148071289,19.448917388916016,0.042694270610809326
83,19.367233276367188,19.321260452270508,0.04597293585538864
84,19.226558685302734,19.17670440673828,0.04985499009490013
85,19.067638397216797,19.013328552246094,0.05430912971496582
86,18.8884220123291,18.829092025756836,0.059330087155103683
87,18.686988830566406,18.62200355529785,0.06498447805643082
88,18.461830139160156,18.3903865814209,0.07144322246313095
89,18.212080001831055,18.13311767578125,0.07896141707897186
90,17.937593460083008,17.849796295166016,0.08779732137918472
91,17.638986587524414,17.540922164916992,0.09806499630212784
92,17.317502975463867,17.207935333251953,0.10956697911024094
93,16.974838256835938,16.85311508178711,0.12172319740056992
94,16.61299705505371,16.47928810119629,0.13370850682258606
95,16.234437942504883,16.08966636657715,0.14477123320102692
96,15.84243106842041,15.68792724609375,0.15450379252433777
97,15.441051483154297,15.27817440032959,0.16287750005722046
98,15.034482955932617,14.864397048950195,0.17008548974990845
99,14.626153945922852,14.449891090393066,0.17626330256462097
100,14.218610763549805,14.03740406036377,0.18120673298835754
101,13.813614845275879,13.629150390625,0.18446436524391174
102,13.412057876586914,13.226460456848145,0.18559765815734863
103,13.014055252075195,12.829794883728027,0.1842607706785202
104,12.619498252868652,12.43929672241211,0.180201917886734
105,12.228764533996582,12.05551528930664,0.17324961721897125
106,11.843199729919434,11.679862976074219,0.1633368879556656
107,11.465066909790039,11.314504623413086,0.1505618691444397
108,11.097428321838379,10.962146759033203,0.13528181612491608
109,10.744697570800781,10.626487731933594,0.11821001768112183
110,10.413240432739258,10.312871932983398,0.10036821663379669
111,10.110601425170898,10.027758598327637,0.08284307271242142
112,9.843484878540039,9.77686882019043,0.06661607325077057
113,9.616070747375488,9.563855171203613,0.052215106785297394
114,9.431005477905273,9.39082145690918,0.04018373042345047
115,9.294739723205566,9.26495361328125,0.02978627197444439
116,9.196512222290039,9.17417049407959,0.022342007607221603
117,9.10655403137207,9.09083080291748,0.015722906216979027
118,9.04425048828125,9.032821655273438,0.011428939178586006
119,9.016549110412598,9.007777214050293,0.00877183023840189
120,8.970264434814453,8.963500022888184,0.0067641157656908035
121,8.944952964782715,8.939192771911621,0.00576014956459403
122,8.912467002868652,8.907058715820312,0.005407917778939009
123,8.866930961608887,8.86175537109375,0.005175776779651642
124,8.828119277954102,8.82302474975586,0.005094741005450487
125,8.76633358001709,8.761139869689941,0.005193469114601612
126,8.712398529052734,8.707104682922363,0.005294059868901968
127,8.643646240234375,8.638373374938965,0.005272785667330027
128,8.581936836242676,8.576634407043457,0.0053021544590592384
129,8.520934104919434,8.515522003173828,0.005412147380411625
130,8.466879844665527,8.461404800415039,0.005475228652358055
131,8.420829772949219,8.415308952331543,0.005521104205399752
132,8.380084991455078,8.374460220336914,0.005625183694064617
133,8.346199989318848,8.340442657470703,0.005757141392678022
134,8.310602188110352,8.304608345031738,0.005994032137095928
135,8.276250839233398,8.26975154876709,0.006498971022665501
136,8.236886024475098,8.229584693908691,0.007301303558051586
137,8.197415351867676,8.188979148864746,0.00843610055744648
138,8.153386116027832,8.143306732177734,0.01007978804409504
139,8.11050033569336,8.098217964172363,0.01228200551122427
140,8.065653800964355,8.050737380981445,0.014916368760168552
141,8.023294448852539,8.005266189575195,0.01802815869450569
142,7.980249404907227,7.958518028259277,0.0217313002794981
143,7.940462589263916,7.914681911468506,0.025780851021409035
144,7.900973320007324,7.871190547943115,0.029782569035887718
145,7.864604949951172,7.830899715423584,0.03370526060461998
146,7.827876567840576,7.790268421173096,0.0376080647110939
