iter,parameters_1
1.0,9.999908797908574e-05
2.0,0.00020012531604152173
3.0,0.00030046066967770457
4.0,0.0004010845150332898
5.0,0.0005020732060074806
6.0,0.0006034999387338758
7.0,0.0007054343004710972
8.0,0.00080794224049896
9.0,0.0009110858663916588
10.0,0.0010149232111871243
11.0,0.001119508408010006
12.0,0.0012248913990333676
13.0,0.001331118168309331
14.0,0.0014382307417690754
15.0,0.0015462671872228384
16.0,0.001655261730775237
17.0,0.00176524487324059
18.0,0.0018762436229735613
19.0,0.0019882814958691597
20.0,0.0021013787481933832
21.0,0.0022155526094138622
22.0,0.002330817049369216
23.0,0.00244718324393034
24.0,0.0025646600406616926
25.0,0.0026832534931600094
26.0,0.0028029673267155886
27.0,0.0029238034039735794
28.0,0.003045761026442051
29.0,0.0031688378658145666
30.0,0.0032930299639701843
31.0,0.0034183315001428127
32.0,0.0035447352565824986
33.0,0.0036722328513860703
34.0,0.0038008142728358507
35.0,0.003930468577891588
36.0,0.004061183892190456
37.0,0.004192947410047054
38.0,0.004325745161622763
39.0,0.004459562245756388
40.0,0.0045943837612867355
41.0,0.004730193875730038
42.0,0.004866976290941238
43.0,0.005004714243113995
44.0,0.005143390502780676
45.0,0.005282987374812365
46.0,0.005423487164080143
47.0,0.005564871709793806
48.0,0.005707122851163149
49.0,0.005850221496075392
50.0,0.00599414948374033
51.0,0.0061388881877064705
52.0,0.006284418515861034
53.0,0.006430721376091242
54.0,0.0065777781419456005
55.0,0.006725570186972618
56.0,0.006874077953398228
57.0,0.007023283280432224
58.0,0.007173167075961828
59.0,0.00732371024787426
60.0,0.007474894635379314
61.0,0.007626701146364212
62.0,0.007779111620038748
63.0,0.007932106964290142
64.0,0.008085669949650764
65.0,0.008239781484007835
66.0,0.008394423872232437
67.0,0.008549578487873077
68.0,0.008705227635800838
69.0,0.008861353620886803
70.0,0.009017938748002052
71.0,0.00917496532201767
72.0,0.009332415647804737
73.0,0.009490272961556911
74.0,0.009648519568145275
75.0,0.009807138703763485
76.0,0.009966113604605198
77.0,0.010125426575541496
78.0,0.010285061784088612
79.0,0.0104450024664402
80.0,0.010605232790112495
81.0,0.010765735991299152
82.0,0.010926495306193829
83.0,0.01108749583363533
84.0,0.011248721741139889
85.0,0.011410157196223736
86.0,0.011571787297725677
87.0,0.011733596213161945
88.0,0.011895569041371346
89.0,0.012057690881192684
90.0,0.012219946831464767
91.0,0.012382322922348976
92.0,0.012544804252684116
93.0,0.012707377783954144
94.0,0.012870028614997864
95.0,0.013032743707299232
96.0,0.013195510022342205
97.0,0.013358313590288162
98.0,0.013521142303943634
99.0,0.013683982193470001
100.0,0.013846822082996368
101.0,0.014009648934006691
102.0,0.014172451570630074
103.0,0.014335217885673046
104.0,0.014497935771942139
105.0,0.01466059498488903
106.0,0.014823184348642826
107.0,0.014985693618655205
108.0,0.015148111619055271
109.0,0.015310429036617279
110.0,0.015472636558115482
111.0,0.015634723007678986
112.0,0.015796681866049767
113.0,0.015958502888679504
114.0,0.016120176762342453
115.0,0.016281696036458015
116.0,0.016443051397800446
117.0,0.016604237258434296
118.0,0.01676524616777897
119.0,0.01692606881260872
120.0,0.017086699604988098
121.0,0.01724713295698166
122.0,0.017407361418008804
123.0,0.017567381262779236
124.0,0.017727185040712357
125.0,0.01788676716387272
126.0,0.018046123906970024
127.0,0.018205249682068825
128.0,0.018364140763878822
129.0,0.01852279342710972
130.0,0.018681202083826065
131.0,0.018839364871382713
132.0,0.018997278064489365
133.0,0.01915493793785572
134.0,0.019312340766191483
135.0,0.01946948654949665
136.0,0.019626371562480927
137.0,0.01978299394249916
138.0,0.019939351826906204
139.0,0.020095445215702057
140.0,0.02025127038359642
