iter,parameters_1
328.0,0.018748298287391663
329.0,0.019052283838391304
330.0,0.019356146454811096
331.0,0.01965988427400589
332.0,0.019963493570685387
333.0,0.020266972482204437
334.0,0.020570317283272743
335.0,0.020873527973890305
336.0,0.021176600828766823
337.0,0.021479532122612
338.0,0.021782321855425835
339.0,0.02208496630191803
340.0,0.022387463599443436
341.0,0.022689810022711754
342.0,0.022992003709077835
343.0,0.02329404279589653
344.0,0.02359592542052269
345.0,0.023897647857666016
346.0,0.02419920824468136
347.0,0.02450060471892357
348.0,0.024801835417747498
349.0,0.025102896615862846
350.0,0.025403784587979317
351.0,0.02570449933409691
352.0,0.026005037128925323
353.0,0.026305394247174263
354.0,0.026605568826198578
355.0,0.02690555900335312
356.0,0.027205361053347588
357.0,0.027504973113536835
358.0,0.027804391458630562
359.0,0.02810361422598362
360.0,0.02840263955295086
361.0,0.02870146371424198
362.0,0.02900008298456669
363.0,0.02929849550127983
364.0,0.02959669753909111
365.0,0.029894685372710228
366.0,0.030192457139492035
367.0,0.030490010976791382
368.0,0.03078734129667282
369.0,0.031084446236491203
370.0,0.03138132393360138
371.0,0.0316779688000679
372.0,0.03197437897324562
373.0,0.03227055072784424
374.0,0.032566480338573456
375.0,0.03286216780543327
376.0,0.033157605677843094
377.0,0.03345279395580292
378.0,0.03374772518873215
379.0,0.03404239937663078
380.0,0.03433681279420853
381.0,0.03463095799088478
382.0,0.034924834966659546
383.0,0.03521843999624252
384.0,0.035511769354343414
385.0,0.03580481931567192
386.0,0.036097586154937744
387.0,0.036390066146850586
388.0,0.03668225556612015
389.0,0.03697415068745613
390.0,0.037265751510858536
391.0,0.037557050585746765
392.0,0.03784804418683052
393.0,0.038138728588819504
394.0,0.038429100066423416
395.0,0.03871915489435196
396.0,0.039008885622024536
397.0,0.03929829224944115
398.0,0.03958737105131149
399.0,0.039876118302345276
400.0,0.0401645302772522
401.0,0.04045259952545166
402.0,0.040740326046943665
403.0,0.041027702391147614
404.0,0.04131472855806351
405.0,0.04160139709711075
406.0,0.04188770428299904
407.0,0.04217364639043808
408.0,0.04245921969413757
409.0,0.04274442046880722
410.0,0.04302924498915672
411.0,0.04331368952989578
412.0,0.0435977466404438
413.0,0.04388141632080078
414.0,0.044164691120386124
415.0,0.04444757103919983
416.0,0.0447300486266613
417.0,0.04501212015748024
418.0,0.04529378190636635
419.0,0.04557503014802933
420.0,0.04585586115717888
421.0,0.046136271208524704
422.0,0.046416252851486206
423.0,0.046695806086063385
424.0,0.046974923461675644
425.0,0.047253601253032684
426.0,0.047531839460134506
427.0,0.04780963063240051
428.0,0.048086971044540405
429.0,0.048363856971263885
430.0,0.048640284687280655
431.0,0.048916250467300415
432.0,0.04919174686074257
433.0,0.04946677386760712
434.0,0.04974132776260376
435.0,0.0500154010951519
436.0,0.05028899386525154
437.0,0.05056209862232208
438.0,0.050834715366363525
439.0,0.05110683664679527
440.0,0.051378458738327026
441.0,0.051649581640958786
442.0,0.051920197904109955
443.0,0.05219030752778053
444.0,0.05245990306138992
445.0,0.052728984504938126
446.0,0.05299754440784454
447.0,0.05326558277010918
448.0,0.05353309586644173
449.0,0.0538000762462616
450.0,0.05406652390956879
451.0,0.054332435131073
452.0,0.05459780618548393
453.0,0.05486263334751129
454.0,0.055126916617155075
455.0,0.055390648543834686
456.0,0.055653829127550125
457.0,0.05591645464301109
458.0,0.05617852136492729
459.0,0.05644002556800842
460.0,0.056700967252254486
461.0,0.05696134269237518
462.0,0.057221148163080215
463.0,0.057480379939079285
464.0,0.05773903802037239
465.0,0.057997118681669235
466.0,0.05825461819767952
467.0,0.058511536568403244
468.0,0.05876787006855011
469.0,0.05902361497282982
470.0,0.05927877128124237
471.0,0.05953333526849747
472.0,0.05978730693459511
473.0,0.060040682554244995
474.0,0.06029346212744713
475.0,0.06054564192891121
476.0,0.06079722195863724
477.0,0.061048198491334915
478.0,0.06129857152700424
479.0,0.06154833734035492
480.0,0.06179749593138695
481.0,0.06204604730010033
482.0,0.06229398772120476
483.0,0.06254132091999054
484.0,0.06278803944587708
485.0,0.06303414702415466
486.0,0.0632796362042427
487.0,0.0635245144367218
488.0,0.06376877427101135
489.0,0.06401241570711136
490.0,0.06425543874502182
491.0,0.06449784338474274
492.0,0.06473962962627411
493.0,0.06498079746961594
494.0,0.06522134691476822
495.0,0.06546127796173096
496.0,0.06570059061050415
497.0,0.0659392848610878
498.0,0.0661773532629013
499.0,0.06641480326652527
500.0,0.06665163487195969
501.0,0.06688784807920456
502.0,0.06712344288825989
503.0,0.06735841929912567
504.0,0.06759276986122131
505.0,0.06782650202512741
506.0,0.06805962324142456
507.0,0.06829212605953217
508.0,0.06852401047945023
509.0,0.06875527650117874
510.0,0.06898593157529831
511.0,0.06921596825122833
512.0,0.06944539397954941
513.0,0.06967420876026154
514.0,0.06990241259336472
515.0,0.07013000547885895
516.0,0.07035698741674423
517.0,0.07058336585760117
518.0,0.07080914080142975
519.0,0.07103430479764938
520.0,0.07125886529684067
521.0,0.0714828297495842
522.0,0.07170619070529938
523.0,0.0719289556145668
524.0,0.07215112447738647
525.0,0.07237269729375839
526.0,0.07259367406368256
527.0,0.07281406223773956
528.0,0.07303386181592941
529.0,0.0732530727982521
530.0,0.07347169518470764
531.0,0.07368973642587662
532.0,0.07390719652175903
533.0,0.07412407547235489
534.0,0.07434037327766418
535.0,0.07455609738826752
536.0,0.07477124780416489
537.0,0.07498583197593689
538.0,0.07519984245300293
539.0,0.0754132866859436
540.0,0.07562617212533951
541.0,0.07583849877119064
542.0,0.07605026662349701
543.0,0.0762614756822586
544.0,0.07647213339805603
545.0,0.07668223977088928
546.0,0.07689179480075836
547.0,0.07710080593824387
548.0,0.0773092731833458
549.0,0.07751719653606415
550.0,0.07772458344697952
551.0,0.07793143391609192
552.0,0.07813775539398193
553.0,0.07834354788064957
554.0,0.07854881137609482
555.0,0.07875354588031769
556.0,0.07895775884389877
557.0,0.07916145771741867
558.0,0.07936464250087738
559.0,0.0795673131942749
560.0,0.07976946979761124
561.0,0.07997111976146698
562.0,0.08017227053642273
563.0,0.08037291467189789
564.0,0.08057305961847305
565.0,0.08077271282672882
566.0,0.08097187429666519
567.0,0.08117054402828217
568.0,0.08136872947216034
569.0,0.08156643062829971
570.0,0.08176364749670029
571.0,0.08196038752794266
572.0,0.08215665072202682
573.0,0.08235244452953339
574.0,0.08254776895046234
575.0,0.08274262398481369
576.0,0.08293701708316803
577.0,0.08313094824552536
578.0,0.08332442492246628
579.0,0.08351744711399078
580.0,0.08371001482009888
581.0,0.08390213549137115
582.0,0.08409380912780762
583.0,0.08428504317998886
584.0,0.08447583764791489
585.0,0.0846661925315857
586.0,0.08485611528158188
587.0,0.08504560589790344
588.0,0.08523467183113098
589.0,0.0854233130812645
590.0,0.08561152964830399
591.0,0.08579932898283005
592.0,0.08598671108484268
593.0,0.08617367595434189
594.0,0.08636023104190826
595.0,0.08654637634754181
596.0,0.08673211932182312
597.0,0.0869174599647522
598.0,0.08710239827632904
599.0,0.08728694170713425
600.0,0.08747109025716782
601.0,0.08765485137701035
602.0,0.08783821761608124
603.0,0.08802120387554169
604.0,0.0882038027048111
605.0,0.08838602155447006
606.0,0.08856786042451859
607.0,0.08874932676553726
608.0,0.08893042057752609
609.0,0.08911114931106567
610.0,0.08929150551557541
611.0,0.0894714966416359
