iter,parameters_1
1.0,9.999807662097737e-05
2.0,0.00019998826610390097
3.0,0.00029996424564160407
4.0,0.00039991867379285395
5.0,0.0004998432705178857
6.0,0.0005997287225909531
7.0,0.000699564756359905
8.0,0.0007993400795385242
9.0,0.000899042293895036
10.0,0.0009986578952521086
11.0,0.0010981722734868526
12.0,0.0011975695379078388
13.0,0.0012968326918780804
14.0,0.0013959435746073723
15.0,0.0014948829775676131
16.0,0.0015936305280774832
17.0,0.0016921649221330881
18.0,0.0017904638079926372
19.0,0.001888503902591765
20.0,0.001986261224374175
21.0,0.002083710627630353
22.0,0.002180826384574175
23.0,0.002277582185342908
24.0,0.002373950555920601
25.0,0.0024699040222913027
26.0,0.0025654141791164875
27.0,0.0026604521553963423
28.0,0.0027549888473004103
29.0,0.0028489946853369474
30.0,0.002942439867183566
31.0,0.0030352941248565912
32.0,0.003127527190372348
33.0,0.0032191083300858736
34.0,0.0033100072760134935
35.0,0.0034001932945102453
36.0,0.0034896356519311666
37.0,0.003578303847461939
38.0,0.0036661673802882433
39.0,0.0037531955167651176
40.0,0.0038393582217395306
41.0,0.003924624994397163
42.0,0.004008966032415628
43.0,0.004092351533472538
44.0,0.004174751695245504
45.0,0.00425613671541214
46.0,0.0043364777229726315
47.0,0.004415745846927166
48.0,0.004493911750614643
49.0,0.004570947028696537
50.0,0.004646823275834322
51.0,0.0047215125523507595
52.0,0.004794986452907324
53.0,0.0048672170378267765
54.0,0.004938176833093166
55.0,0.005007838364690542
56.0,0.005076174158602953
57.0,0.005143156740814447
58.0,0.005208759568631649
59.0,0.005272955168038607
60.0,0.005335716996341944
61.0,0.005397018510848284
62.0,0.005456832703202963
63.0,0.0055151330307126045
64.0,0.0055718934163451195
65.0,0.005627087317407131
66.0,0.005680688191205263
67.0,0.005732669960707426
68.0,0.005783006548881531
69.0,0.005831671878695488
70.0,0.0058786398731172085
71.0,0.005923884455114603
72.0,0.00596738001331687
73.0,0.006009100936353207
74.0,0.006049021612852812
75.0,0.006087115965783596
76.0,0.006123359315097332
77.0,0.006157726049423218
78.0,0.006190191023051739
79.0,0.006220729555934668
80.0,0.006249316968023777
81.0,0.00627592857927084
82.0,0.006300540640950203
83.0,0.006323129404336214
84.0,0.006343671586364508
85.0,0.006362143903970718
86.0,0.006378523539751768
87.0,0.006392788141965866
88.0,0.0064049167558550835
89.0,0.006414887495338917
90.0,0.006422680336982012
91.0,0.006428275257349014
92.0,0.006431652698665857
93.0,0.006432794500142336
94.0,0.006431682966649532
95.0,0.006428300868719816
96.0,0.006422632373869419
97.0,0.006414662580937147
98.0,0.006404377054423094
99.0,0.006391763221472502
100.0,0.006376808509230614
101.0,0.006359501741826534
102.0,0.006339833606034517
103.0,0.006317795254290104
104.0,0.0062933797016739845
105.0,0.006266580428928137
106.0,0.0062373923137784
107.0,0.006205812096595764
108.0,0.006171837914735079
109.0,0.00613546883687377
110.0,0.006096705328673124
111.0,0.006055549718439579
112.0,0.006012005265802145
113.0,0.005966076627373695
114.0,0.005917770322412252
115.0,0.0058670942671597
116.0,0.005814057774841785
117.0,0.005758671555668116
118.0,0.005700947251170874
119.0,0.005640898831188679
120.0,0.005578541196882725
121.0,0.00551389018073678
122.0,0.00544696394354105
123.0,0.0053777811117470264
124.0,0.005306361708790064
125.0,0.005232727620750666
126.0,0.005156901199370623
127.0,0.005078906659036875
128.0,0.004998768214136362
129.0,0.004916512407362461
130.0,0.004832166247069836
131.0,0.004745757672935724
132.0,0.004657315090298653
133.0,0.004566868767142296
134.0,0.004474448971450329
135.0,0.004380086902529001
136.0,0.004283814691007137
137.0,0.0041856649331748486
138.0,0.004085670690983534
139.0,0.003983865957707167
140.0,0.0038802847266197205
141.0,0.003774961456656456
142.0,0.0036679310724139214
143.0,0.0035592287313193083
144.0,0.003448889823630452
145.0,0.0033369502052664757
146.0,0.003223445499315858
147.0,0.0031084115616977215
148.0,0.002991884481161833
149.0,0.0028739001136273146
150.0,0.0027544943150132895
151.0,0.00263370294123888
152.0,0.0025115618482232094
153.0,0.002388106659054756
154.0,0.0022633725311607122
155.0,0.002137394854798913
156.0,0.002010208321735263
157.0,0.00188184785656631
158.0,0.0017523478018119931
159.0,0.001621742034330964
160.0,0.0014900644309818745
161.0,0.001357348170131445
162.0,0.0012236263137310743
163.0,0.0010889313416555524
164.0,0.0009532955009490252
